X,Y,Theta1_deg,Theta2_deg
61.18385806941494,-16.580751451100834,0.0,-56.0
61.75570504584947,-16.18033988749895,0.0,-54.0
62.31322950651317,-15.76021507213444,0.0,-52.0
62.85575219373079,-15.32088886237956,0.0,-50.0
63.38261212717717,-14.862896509547884,0.0,-48.0
63.893167409179945,-14.386796006773022,0.0,-46.0
64.38679600677303,-13.893167409179945,0.0,-44.0
64.86289650954788,-13.382612127177165,0.0,-42.0
65.32088886237956,-12.855752193730785,0.0,-40.0
65.76021507213444,-12.313229506513165,0.0,-38.0
66.18033988749895,-11.755705045849464,0.0,-36.0
66.58075145110084,-11.183858069414939,0.0,-34.0
66.96096192312852,-10.598385284664097,0.0,-32.0
67.32050807568878,-9.999999999999998,0.0,-30.0
67.65895185717854,-9.389431255717817,0.0,-28.0
67.97588092598335,-8.767422935781548,0.0,-26.0
68.27090915285201,-8.134732861516005,0.0,-24.0
68.54367709133575,-7.49213186831824,0.0,-22.0
68.79385241571816,-6.840402866513374,0.0,-20.0
69.02113032590307,-6.180339887498948,0.0,-18.0
69.22523391876638,-5.512747116339983,0.0,-16.0
69.40591452551993,-4.8384379119933545,0.0,-14.0
69.56295201467611,-4.158233816355187,0.0,-12.0
69.69615506024417,-3.4729635533386065,0.0,-10.0
69.8053613748314,-2.7834620192013086,0.0,-8.0
69.89043790736547,-2.0905692653530696,0.0,-6.0
69.95128100519648,-1.395129474882506,0.0,-4.0
69.98781654038191,-0.6979899340500194,0.0,-2.0
70.0,0.0,0.0,0.0
69.98781654038191,0.6979899340500194,0.0,2.0
69.95128100519648,1.395129474882506,0.0,4.0
69.89043790736547,2.0905692653530696,0.0,6.0
69.8053613748314,2.7834620192013086,0.0,8.0
69.69615506024417,3.4729635533386065,0.0,10.0
69.56295201467611,4.158233816355187,0.0,12.0
69.40591452551993,4.8384379119933545,0.0,14.0
69.22523391876638,5.512747116339983,0.0,16.0
69.02113032590307,6.180339887498948,0.0,18.0
68.79385241571816,6.840402866513374,0.0,20.0
68.54367709133575,7.49213186831824,0.0,22.0
68.27090915285201,8.134732861516005,0.0,24.0
67.97588092598335,8.767422935781548,0.0,26.0
67.65895185717854,9.389431255717817,0.0,28.0
67.32050807568878,9.999999999999998,0.0,30.0
66.96096192312852,10.598385284664097,0.0,32.0
66.58075145110084,11.183858069414939,0.0,34.0
66.18033988749895,11.755705045849464,0.0,36.0
65.76021507213444,12.313229506513165,0.0,38.0
65.32088886237956,12.855752193730785,0.0,40.0
64.86289650954788,13.382612127177165,0.0,42.0
64.38679600677303,13.893167409179945,0.0,44.0
63.893167409179945,14.386796006773022,0.0,46.0
63.38261212717717,14.862896509547884,0.0,48.0
62.85575219373079,15.32088886237956,0.0,50.0
62.31322950651317,15.76021507213444,0.0,52.0
61.75570504584947,16.18033988749895,0.0,54.0
61.18385806941494,16.580751451100834,0.0,56.0
60.5983852846641,16.96096192312852,0.0,58.0
60.0,17.32050807568877,0.0,60.0
59.38943125571782,17.658951857178536,0.0,62.0
58.76742293578155,17.97588092598334,0.0,64.0
58.13473286151601,18.270909152852017,0.0,66.0
57.49213186831824,18.54367709133575,0.0,68.0
56.84040286651338,18.793852415718167,0.0,70.0
56.180339887498945,19.02113032590307,0.0,72.0
55.51274711633998,19.225233918766378,0.0,74.0
54.83843791199335,19.40591452551993,0.0,76.0
54.15823381635519,19.56295201467611,0.0,78.0
53.47296355333861,19.69615506024416,0.0,80.0
52.78346201920131,19.805361374831406,0.0,82.0
52.09056926535307,19.890437907365467,0.0,84.0
51.3951294748825,19.951281005196485,0.0,86.0
50.69798993405002,19.987816540381914,0.0,88.0
50.0,20.0,0.0,90.0
49.30201006594998,19.987816540381914,0.0,92.0
48.60487052511749,19.951281005196485,0.0,94.0
47.90943073464693,19.890437907365467,0.0,96.0
47.21653798079869,19.805361374831406,0.0,98.0
46.52703644666139,19.69615506024416,0.0,100.0
45.841766183644815,19.562952014676114,0.0,102.0
45.16156208800665,19.40591452551993,0.0,104.0
44.48725288366002,19.225233918766378,0.0,106.0
43.819660112501055,19.021130325903073,0.0,108.0
43.15959713348663,18.79385241571817,0.0,110.0
42.50786813168176,18.54367709133575,0.0,112.0
41.86526713848399,18.270909152852017,0.0,114.0
41.23257706421845,17.97588092598334,0.0,116.0
40.61056874428218,17.658951857178536,0.0,118.0
40.0,17.320508075688775,0.0,120.0
39.4016147153359,16.960961923128522,0.0,122.0
38.81614193058507,16.580751451100834,0.0,124.0
38.24429495415054,16.18033988749895,0.0,126.0
37.68677049348683,15.76021507213444,0.0,128.0
37.14424780626921,15.32088886237956,0.0,130.0
36.61738787282283,14.862896509547884,0.0,132.0
36.106832590820055,14.386796006773022,0.0,134.0
36.07637394177484,-12.641821171647972,2.0,-136.0
36.58692922377762,-13.117921674422835,2.0,-134.0
37.113789157224,-13.57591402725451,2.0,-132.0
37.65631184444162,-14.01524023700939,2.0,-130.0
38.213836305105325,-14.4353650523739,2.0,-128.0
38.78568328153985,-14.835776615975785,2.0,-126.0
39.37115606629069,-15.215987088003473,2.0,-124.0
39.969541350954785,-15.575533240563725,2.0,-122.0
40.580110095236975,-15.913977022053494,2.0,-120.0
41.20211841517323,-16.23090609085829,2.0,-118.0
41.83480848943878,-16.525934317726968,2.0,-116.0
42.477409482636546,-16.7987022562107,2.0,-114.0
43.12913848444141,-17.04887758059312,2.0,-112.0
43.78920146345584,-17.276155490778024,2.0,-110.0
44.456794234614804,-17.48025908364133,2.0,-108.0
45.13110343896143,-17.66093969039488,2.0,-106.0
45.8113075345996,-17.817977179551065,2.0,-104.0
46.496577797616176,-17.95118022511911,2.0,-102.0
47.186079331753476,-18.060386539706357,2.0,-100.0
47.87897208560172,-18.145463072240418,2.0,-98.0
48.574411876072276,-18.206306170071436,2.0,-96.0
49.271551416904764,-18.242841705256865,2.0,-94.0
49.969541350954785,-18.25502516487495,2.0,-92.0
50.667531285004806,-18.242841705256865,2.0,-90.0
